2024-05-15 12:02:18,589 INFO    MainThread:18161 [wandb_setup.py:_flush():76] Current SDK version is 0.16.5
2024-05-15 12:02:18,590 INFO    MainThread:18161 [wandb_setup.py:_flush():76] Configure stats pid to 18161
2024-05-15 12:02:18,590 INFO    MainThread:18161 [wandb_setup.py:_flush():76] Loading settings from /Users/zehiu/.config/wandb/settings
2024-05-15 12:02:18,590 INFO    MainThread:18161 [wandb_setup.py:_flush():76] Loading settings from /Users/zehiu/PycharmProjects/DeepLearning/dnd_music/wandb/settings
2024-05-15 12:02:18,590 INFO    MainThread:18161 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-05-15 12:02:18,590 INFO    MainThread:18161 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'training.py', 'program_abspath': '/Users/zehiu/PycharmProjects/DeepLearning/dnd_music/training.py', 'program': '/Users/zehiu/PycharmProjects/DeepLearning/dnd_music/training.py'}
2024-05-15 12:02:18,590 INFO    MainThread:18161 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2024-05-15 12:02:18,590 INFO    MainThread:18161 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2024-05-15 12:02:18,590 INFO    MainThread:18161 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-05-15 12:02:18,590 INFO    MainThread:18161 [wandb_init.py:_log_setup():527] Logging user logs to /Users/zehiu/PycharmProjects/DeepLearning/dnd_music/wandb/run-20240515_120218-idlzcztb/logs/debug.log
2024-05-15 12:02:18,590 INFO    MainThread:18161 [wandb_init.py:_log_setup():528] Logging internal logs to /Users/zehiu/PycharmProjects/DeepLearning/dnd_music/wandb/run-20240515_120218-idlzcztb/logs/debug-internal.log
2024-05-15 12:02:18,590 INFO    MainThread:18161 [wandb_init.py:init():567] calling init triggers
2024-05-15 12:02:18,590 INFO    MainThread:18161 [wandb_init.py:init():574] wandb.init called with sweep_config: {}
config: {}
2024-05-15 12:02:18,590 INFO    MainThread:18161 [wandb_init.py:init():617] starting backend
2024-05-15 12:02:18,590 INFO    MainThread:18161 [wandb_init.py:init():621] setting up manager
2024-05-15 12:02:18,590 INFO    MainThread:18161 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-05-15 12:02:18,591 INFO    MainThread:18161 [wandb_init.py:init():629] backend started and connected
2024-05-15 12:02:18,593 INFO    MainThread:18161 [wandb_init.py:init():721] updated telemetry
2024-05-15 12:02:18,614 INFO    MainThread:18161 [wandb_init.py:init():754] communicating run to backend with 90.0 second timeout
2024-05-15 12:02:19,123 INFO    MainThread:18161 [wandb_run.py:_on_init():2344] communicating current version
2024-05-15 12:02:19,303 INFO    MainThread:18161 [wandb_run.py:_on_init():2353] got version response upgrade_message: "wandb version 0.17.0 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-05-15 12:02:19,303 INFO    MainThread:18161 [wandb_init.py:init():805] starting run threads in backend
2024-05-15 12:02:22,694 INFO    MainThread:18161 [wandb_run.py:_console_start():2323] atexit reg
2024-05-15 12:02:22,694 INFO    MainThread:18161 [wandb_run.py:_redirect():2178] redirect: wrap_raw
2024-05-15 12:02:22,694 INFO    MainThread:18161 [wandb_run.py:_redirect():2243] Wrapping output streams.
2024-05-15 12:02:22,695 INFO    MainThread:18161 [wandb_run.py:_redirect():2268] Redirects installed.
2024-05-15 12:02:22,695 INFO    MainThread:18161 [wandb_init.py:init():848] run started, returning control to user process
